Route,Stop,UTMXN,UTMYE
739,15,4526357.688,661529.1958
739,16,4524657.431,658361.9278
739,17,4524672.442,656776.2618
739,18,4524647.118,655157.7446
739,19,4524628.051,653555.9758
739,20,4524625.69,652746.5166
742,1,4453400.205,637165.3959
742,2,4454898.865,704809.1936
742,3,4454954.677,706404.453
742,4,4453358.321,706483.6052
742,5,4453398.796,708070.169
742,6,4453433.7,709666.3665
742,7,4453466.453,711283.9374
742,8,4453532.74,712874.5528
742,9,4453581.936,714503.5186
742,10,4453636.434,716089.7516
742,11,4453726.072,717705.7434
742,12,4453737.791,719177.279
742,13,4453783.579,720643.1097
742,14,4455417.238,720782.2587
742,15,4457027.351,720749.3282
742,16,4457060.858,722205.4414
742,17,4457121,723821.6314
742,18,4457170.736,725594.2651
742,19,4457222.191,727307.7273
742,20,4457258.831,728825.3123
